track_name,track_id,track_duration,track_popularity,track_url,track_uri,track_danceability,track_energy,track_key,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_time_signature
K-POP,5L3ecxQnQ9qTBmnLQiwf0C,185.22,82,https://open.spotify.com/track/5L3ecxQnQ9qTBmnLQiwf0C,spotify:track:5L3ecxQnQ9qTBmnLQiwf0C,0.618,0.814,5,-5.614,0.0619,0.0386,3.34e-06,0.671,0.535,121.075,4
WHERE SHE GOES,7ro0hRteUMfnOioTFI5TG1,231.704,87,https://open.spotify.com/track/7ro0hRteUMfnOioTFI5TG1,spotify:track:7ro0hRteUMfnOioTFI5TG1,0.8,0.652,9,-4.019,0.0614,0.143,0.629,0.112,0.234,143.978,4
un x100to,6pD0ufEQq0xdHSsRbg9LBK,194.563,87,https://open.spotify.com/track/6pD0ufEQq0xdHSsRbg9LBK,spotify:track:6pD0ufEQq0xdHSsRbg9LBK,0.724,0.569,6,-4.076,0.0474,0.228,0.0,0.27,0.562,83.118,4
Gato de Noche,54ELExv56KCAB4UP9cOCzC,227.013,82,https://open.spotify.com/track/54ELExv56KCAB4UP9cOCzC,spotify:track:54ELExv56KCAB4UP9cOCzC,0.662,0.892,8,-3.894,0.162,0.169,1.24e-06,0.363,0.607,93.976,4
La Jumpa,5MxFWjuqQIsbNWbMdMdbli,255.693,79,https://open.spotify.com/track/5MxFWjuqQIsbNWbMdMdbli,spotify:track:5MxFWjuqQIsbNWbMdMdbli,0.703,0.713,8,-5.769,0.194,0.298,0.0,0.321,0.576,123.06,4
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB,207.301,77,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB,spotify:track:4gzsuuZypVbxs0Af1LSZyB,0.703,0.639,4,-6.33,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,4
Volví,2vmfvSoZBFAt9hhRoEByLi,230.125,80,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi,spotify:track:2vmfvSoZBFAt9hhRoEByLi,0.86,0.725,1,-3.726,0.182,0.422,0.000284,0.0674,0.791,175.896,4
Volando - Remix,0G2zPzWqVjR68iNPmx2TBe,273.474,79,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe,spotify:track:0G2zPzWqVjR68iNPmx2TBe,0.688,0.659,6,-4.649,0.0673,0.207,0.0,0.113,0.632,153.979,4
De Museo,267NGliXM8YLVZiKAD9Otm,209.77,65,https://open.spotify.com/track/267NGliXM8YLVZiKAD9Otm,spotify:track:267NGliXM8YLVZiKAD9Otm,0.494,0.592,4,-10.618,0.0747,0.237,0.0,0.13,0.231,132.037,4
AM Remix,05bfbizlM5AX6Mf1RRyMho,261.334,74,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho,spotify:track:05bfbizlM5AX6Mf1RRyMho,0.655,0.743,6,-5.015,0.159,0.114,0.0,0.0764,0.785,172.031,4
Yonaguni,2JPLbjOn0wPCngEot2STUS,206.71,82,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS,spotify:track:2JPLbjOn0wPCngEot2STUS,0.648,0.644,1,-4.601,0.118,0.276,0.0,0.135,0.44,179.951,4
100 MILLONES,4Ixc50wY5pbUvNEogTQ2wL,237.459,65,https://open.spotify.com/track/4Ixc50wY5pbUvNEogTQ2wL,spotify:track:4Ixc50wY5pbUvNEogTQ2wL,0.559,0.808,1,-6.936,0.452,0.133,6.57e-06,0.0966,0.48,169.103,4
