track_name,track_id,track_duration,track_popularity,track_url,track_uri,track_danceability,track_energy,track_key,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_time_signature
Hello,2RK7wvV1U6BU5siw4vhXN7,195.04,54,https://open.spotify.com/track/2RK7wvV1U6BU5siw4vhXN7,spotify:track:2RK7wvV1U6BU5siw4vhXN7,0.823,0.803,7,-4.722,0.056,0.458,3.61e-05,0.0924,0.836,94.988,4
El Pecado,4M1dVJegubckrFNGGfcbrE,191.586,45,https://open.spotify.com/track/4M1dVJegubckrFNGGfcbrE,spotify:track:4M1dVJegubckrFNGGfcbrE,0.57,0.864,11,-6.284,0.0838,0.0159,0.0,0.0993,0.395,118.963,4
A Solas,2yKJmfi2tvRJQ6elMxDmzv,200.733,47,https://open.spotify.com/track/2yKJmfi2tvRJQ6elMxDmzv,spotify:track:2yKJmfi2tvRJQ6elMxDmzv,0.786,0.743,0,-4.032,0.0407,0.165,0.0,0.203,0.721,94.004,4
Ahora Me Llama,0alSPoUfrGb0RdVVG4Lf3n,235.226,74,https://open.spotify.com/track/0alSPoUfrGb0RdVVG4Lf3n,spotify:track:0alSPoUfrGb0RdVVG4Lf3n,0.573,0.646,7,-5.716,0.041,0.00949,3.98e-05,0.0932,0.109,134.979,4
Eres Mi Todo,229NpRywpBdKErmKM2ctz2,187.466,48,https://open.spotify.com/track/229NpRywpBdKErmKM2ctz2,spotify:track:229NpRywpBdKErmKM2ctz2,0.724,0.793,11,-5.734,0.0467,0.341,0.00145,0.153,0.545,95.006,4
Amor No Hay,4NO3qKhMYw9XjD7TAPQGUR,202.746,44,https://open.spotify.com/track/4NO3qKhMYw9XjD7TAPQGUR,spotify:track:4NO3qKhMYw9XjD7TAPQGUR,0.734,0.538,11,-7.541,0.279,0.0203,0.0,0.369,0.573,168.244,4
A Ella,1pkMzGqBBS10nDiiYrNGGJ,198.906,79,https://open.spotify.com/track/1pkMzGqBBS10nDiiYrNGGJ,spotify:track:1pkMzGqBBS10nDiiYrNGGJ,0.759,0.735,2,-5.354,0.193,0.242,1.96e-05,0.15,0.598,181.902,4
Muñeco De Lego,1PuBKZbBeFWc9uVvUjUuOW,164.32,50,https://open.spotify.com/track/1PuBKZbBeFWc9uVvUjUuOW,spotify:track:1PuBKZbBeFWc9uVvUjUuOW,0.617,0.782,0,-7.874,0.159,0.265,0.0,0.14,0.534,143.983,4
Casi Nada,7p7erLN6ursMA8uvWiXj7Z,218.826,50,https://open.spotify.com/track/7p7erLN6ursMA8uvWiXj7Z,spotify:track:7p7erLN6ursMA8uvWiXj7Z,0.83,0.729,1,-3.192,0.037,0.117,6.42e-05,0.0845,0.631,98.054,4
Lo Sabe Dios,3lbSlSHXPFThany9iJxRrV,147.386,70,https://open.spotify.com/track/3lbSlSHXPFThany9iJxRrV,spotify:track:3lbSlSHXPFThany9iJxRrV,0.378,0.587,4,-8.003,0.0583,0.879,0.0,0.132,0.675,83.821,4
Ahora Me Llama - Remix,5K5mnE8uQnf9zIEX7ojdoq,251.786,52,https://open.spotify.com/track/5K5mnE8uQnf9zIEX7ojdoq,spotify:track:5K5mnE8uQnf9zIEX7ojdoq,0.613,0.668,0,-7.05,0.0421,0.0433,4.49e-05,0.139,0.218,135.034,4
Labios Mordidos (with KAROL G),1HLaJowFbNM3MPyqnk5vjW,195.373,83,https://open.spotify.com/track/1HLaJowFbNM3MPyqnk5vjW,spotify:track:1HLaJowFbNM3MPyqnk5vjW,0.886,0.715,0,-4.446,0.0421,0.287,0.000165,0.329,0.748,90.005,4
UNA NOCHE EN MEDELLÍN - REMIX,0Kp9Q3Wii4qO7AGHB2YuIp,205.144,52,https://open.spotify.com/track/0Kp9Q3Wii4qO7AGHB2YuIp,spotify:track:0Kp9Q3Wii4qO7AGHB2YuIp,0.765,0.846,10,-2.461,0.0761,0.0346,0.0,0.0451,0.887,96.042,4
QLONA,5gUysq7aO7v7EcV5kQWgeh,172.797,65,https://open.spotify.com/track/5gUysq7aO7v7EcV5kQWgeh,spotify:track:5gUysq7aO7v7EcV5kQWgeh,0.741,0.843,7,-7.486,0.293,0.541,1.88e-06,0.0879,0.45,169.933,4
DISPO,7c8gbGEhFEMnLHOFO2gbUd,193.961,53,https://open.spotify.com/track/7c8gbGEhFEMnLHOFO2gbUd,spotify:track:7c8gbGEhFEMnLHOFO2gbUd,0.626,0.842,0,-3.105,0.0472,0.435,0.0,0.127,0.621,93.994,4
S91,7EpOXgSRgnglRWr86pZfGU,173.005,80,https://open.spotify.com/track/7EpOXgSRgnglRWr86pZfGU,spotify:track:7EpOXgSRgnglRWr86pZfGU,0.719,0.856,0,-4.923,0.194,0.587,2.89e-05,0.09,0.417,128.161,4
WATATI (feat. Aldo Ranks) [From Barbie The Album],6MZi5j60L80SZLBxN0bv8s,166.882,75,https://open.spotify.com/track/6MZi5j60L80SZLBxN0bv8s,spotify:track:6MZi5j60L80SZLBxN0bv8s,0.851,0.893,3,-5.342,0.0979,0.145,6.49e-05,0.319,0.959,110.002,4
AMARGURA,0sTYyWXP6DUJ0032QvZ8i6,170.906,62,https://open.spotify.com/track/0sTYyWXP6DUJ0032QvZ8i6,spotify:track:0sTYyWXP6DUJ0032QvZ8i6,0.704,0.921,6,-3.396,0.0735,0.172,0.0,0.175,0.519,106.989,4
TQG,2oMjKuKUEJFuLiVmTq7Vjx,198.36,75,https://open.spotify.com/track/2oMjKuKUEJFuLiVmTq7Vjx,spotify:track:2oMjKuKUEJFuLiVmTq7Vjx,0.65,0.839,4,-3.38,0.212,0.666,0.0,0.126,0.7,90.015,4
PERO TÚ,4QpoPO2Z9xqESwEsfTjaLj,183.906,64,https://open.spotify.com/track/4QpoPO2Z9xqESwEsfTjaLj,spotify:track:4QpoPO2Z9xqESwEsfTjaLj,0.782,0.867,6,-4.562,0.293,0.406,0.0,0.108,0.685,139.893,4
OJOS FERRARI,2PRmf1sl1EV0zceL9dbvxE,180.466,59,https://open.spotify.com/track/2PRmf1sl1EV0zceL9dbvxE,spotify:track:2PRmf1sl1EV0zceL9dbvxE,0.711,0.899,1,-2.78,0.0901,0.159,4.49e-05,0.138,0.647,124.081,4
MAÑANA SERÁ BONITO,5mOQ1AIC0MXzQ26a46ucOF,211.4,49,https://open.spotify.com/track/5mOQ1AIC0MXzQ26a46ucOF,spotify:track:5mOQ1AIC0MXzQ26a46ucOF,0.726,0.77,8,-4.546,0.116,0.428,1.5e-05,0.321,0.238,91.992,4
KÁRMIKA,7rrWh2XIse8URW74454keQ,237.013,60,https://open.spotify.com/track/7rrWh2XIse8URW74454keQ,spotify:track:7rrWh2XIse8URW74454keQ,0.65,0.872,6,-5.248,0.373,0.466,0.0,0.127,0.732,97.077,4
DAÑAMOS LA AMISTAD,0mCBgI8c86M0v84lY9fQhW,175.386,50,https://open.spotify.com/track/0mCBgI8c86M0v84lY9fQhW,spotify:track:0mCBgI8c86M0v84lY9fQhW,0.779,0.796,0,-4.874,0.0888,0.16,5.78e-06,0.0813,0.601,92.968,4
X SI VOLVEMOS,3Zyk5Vd9WNPNVWxvb0EZTk,203.36,73,https://open.spotify.com/track/3Zyk5Vd9WNPNVWxvb0EZTk,spotify:track:3Zyk5Vd9WNPNVWxvb0EZTk,0.78,0.793,1,-4.247,0.249,0.341,0.0,0.111,0.576,178.046,4
La Vida Es Una (From Puss in Boots: The Last Wish),35HgzqAoEZ28Ovq7kb9nDz,189.838,69,https://open.spotify.com/track/35HgzqAoEZ28Ovq7kb9nDz,spotify:track:35HgzqAoEZ28Ovq7kb9nDz,0.777,0.819,10,-7.156,0.0513,0.0708,0.000358,0.0973,0.625,109.979,4
