track_name,track_id,track_duration,track_popularity,track_url,track_uri,track_danceability,track_energy,track_key,track_loudness,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_time_signature
14 De Febrero,4gxth3dfoNKVku4DDB3R79,158.413,53,https://open.spotify.com/track/4gxth3dfoNKVku4DDB3R79,spotify:track:4gxth3dfoNKVku4DDB3R79,0.572,0.577,9,-5.478,0.0473,0.803,0.0,0.087,0.725,169.361,4
SI TÚ SUPIERAS,6qtDKAKZhJfVziibsoGBBj,196.373,66,https://open.spotify.com/track/6qtDKAKZhJfVziibsoGBBj,spotify:track:6qtDKAKZhJfVziibsoGBBj,0.664,0.673,4,-5.382,0.177,0.376,0.0,0.111,0.586,174.972,4
VACAXIONES,5QLs1kIWkkxcdUBfTkqWBX,186.4,65,https://open.spotify.com/track/5QLs1kIWkkxcdUBfTkqWBX,spotify:track:5QLs1kIWkkxcdUBfTkqWBX,0.69,0.558,6,-5.101,0.122,0.132,0.0,0.126,0.43,90.091,4
FRIKI,2WrqTrNIHqfcMCgmEo0A7E,145.12,73,https://open.spotify.com/track/2WrqTrNIHqfcMCgmEo0A7E,spotify:track:2WrqTrNIHqfcMCgmEo0A7E,0.878,0.826,6,-2.389,0.0599,0.0242,0.0,0.0789,0.686,94.994,4
Monastery,0lBYoRwjutFWOBGfQ2uMGk,189.346,55,https://open.spotify.com/track/0lBYoRwjutFWOBGfQ2uMGk,spotify:track:0lBYoRwjutFWOBGfQ2uMGk,0.505,0.84,0,-6.708,0.0769,0.0999,0.0,0.354,0.775,88.973,4
COMMENT,4cjmzyooA8MkQAKrfESAoo,170.693,61,https://open.spotify.com/track/4cjmzyooA8MkQAKrfESAoo,spotify:track:4cjmzyooA8MkQAKrfESAoo,0.536,0.749,5,-5.705,0.18,0.178,0.0,0.103,0.328,179.966,4
8 DIAX,52ZI5nsIiC5Zh6z5ufTYAK,141.333,61,https://open.spotify.com/track/52ZI5nsIiC5Zh6z5ufTYAK,spotify:track:52ZI5nsIiC5Zh6z5ufTYAK,0.572,0.773,8,-3.463,0.232,0.0886,0.0,0.0937,0.703,179.685,4
RUDEBOYZ,19bRjBsNb33qkJkyYNZT16,186.68,54,https://open.spotify.com/track/19bRjBsNb33qkJkyYNZT16,spotify:track:19bRjBsNb33qkJkyYNZT16,0.714,0.863,5,-3.156,0.229,0.0264,0.0,0.129,0.553,90.04,4
AMOR DE MI VIDA,2C6eINAA8cO6e5a8PjnWsK,189.613,70,https://open.spotify.com/track/2C6eINAA8cO6e5a8PjnWsK,spotify:track:2C6eINAA8cO6e5a8PjnWsK,0.674,0.735,6,-5.629,0.124,0.18,0.0,0.108,0.561,171.883,4
FUMETEO - Remix,5SXG3VyqqWkzr4a3sUnupK,214.88,61,https://open.spotify.com/track/5SXG3VyqqWkzr4a3sUnupK,spotify:track:5SXG3VyqqWkzr4a3sUnupK,0.843,0.729,4,-4.588,0.0426,0.0431,1.22e-05,0.106,0.656,93.972,4
MIONCA AL BLOQUE,0mIFOa5E7widNaQ76voSN1,172.16,56,https://open.spotify.com/track/0mIFOa5E7widNaQ76voSN1,spotify:track:0mIFOa5E7widNaQ76voSN1,0.617,0.744,11,-4.621,0.325,0.126,0.0,0.101,0.396,170.002,4
CORONE,1A7rUacip28yYERtzuQZ55,162.72,64,https://open.spotify.com/track/1A7rUacip28yYERtzuQZ55,spotify:track:1A7rUacip28yYERtzuQZ55,0.68,0.702,1,-5.643,0.0691,0.0928,0.00333,0.104,0.622,167.992,4
CHIMBITA,35xvhWIZMpsDcJxr14Ukbx,156.146,69,https://open.spotify.com/track/35xvhWIZMpsDcJxr14Ukbx,spotify:track:35xvhWIZMpsDcJxr14Ukbx,0.657,0.682,1,-4.462,0.193,0.142,0.0,0.111,0.564,185.938,4
TENGO FE,57pkksnRS4NOOphTmoRlK2,146.426,65,https://open.spotify.com/track/57pkksnRS4NOOphTmoRlK2,spotify:track:57pkksnRS4NOOphTmoRlK2,0.565,0.756,7,-4.555,0.0923,0.269,7.76e-06,0.313,0.517,159.95,4
COMO CUANDO,1DyNtUr9nwyV9jZ4Gw7Tqy,161.613,49,https://open.spotify.com/track/1DyNtUr9nwyV9jZ4Gw7Tqy,spotify:track:1DyNtUr9nwyV9jZ4Gw7Tqy,0.624,0.678,9,-4.763,0.129,0.159,9.26e-05,0.0754,0.745,84.319,4
JORDAN IV,5ZyNCQmxZlYZfAHeJXTkI2,162.52,62,https://open.spotify.com/track/5ZyNCQmxZlYZfAHeJXTkI2,spotify:track:5ZyNCQmxZlYZfAHeJXTkI2,0.676,0.774,6,-5.238,0.293,0.0589,0.0,0.0941,0.233,165.91,4
